,name,number,start_left,end_left,start_right,end_right,start,end,start_amplicon,end_amplicon
0,SARS-CoV-2_1,1,18,42,230,254,18,254,43,229
1,SARS-CoV-2_2,2,28,52,277,301,28,301,53,276
2,SARS-CoV-2_3,3,234,258,484,508,234,508,259,483
3,SARS-CoV-2_4,4,292,316,536,560,292,560,317,535
4,SARS-CoV-2_5,5,489,513,700,724,489,724,514,699
5,SARS-CoV-2_6,6,548,572,795,819,548,819,573,794
8,SARS-CoV-2_9,9,708,732,959,983,708,983,733,958
9,SARS-CoV-2_10,10,815,839,1061,1085,815,1085,840,1060
10,SARS-CoV-2_11,11,972,996,1195,1219,972,1219,997,1194
11,SARS-CoV-2_12,12,1103,1127,1310,1334,1103,1334,1128,1309
12,SARS-CoV-2_13,13,1211,1235,1419,1443,1211,1443,1236,1418
14,SARS-CoV-2_15,15,1331,1355,1570,1594,1331,1594,1356,1569
15,SARS-CoV-2_16,16,1435,1459,1679,1703,1435,1703,1460,1678
16,SARS-CoV-2_17,17,1587,1611,1834,1858,1587,1858,1612,1833
17,SARS-CoV-2_18,18,1697,1721,1905,1929,1697,1929,1722,1904
18,SARS-CoV-2_19,19,1855,1879,2093,2117,1855,2117,1880,2092
19,SARS-CoV-2_20,20,1921,1945,2162,2186,1921,2186,1946,2161
20,SARS-CoV-2_21,21,2112,2136,2352,2376,2112,2376,2137,2351
21,SARS-CoV-2_22,22,2182,2206,2424,2448,2182,2448,2207,2423
23,SARS-CoV-2_24,24,2374,2398,2617,2641,2374,2641,2399,2616
24,SARS-CoV-2_25,25,2440,2464,2667,2691,2440,2691,2465,2666
25,SARS-CoV-2_26,26,2638,2662,2846,2870,2638,2870,2663,2845
26,SARS-CoV-2_27,27,2687,2711,2926,2950,2687,2950,2712,2925
27,SARS-CoV-2_28,28,2865,2889,3046,3070,2865,3070,2890,3045
28,SARS-CoV-2_29,29,2942,2966,3184,3208,2942,3208,2967,3183
29,SARS-CoV-2_30,30,3068,3092,3295,3319,3068,3319,3093,3294
30,SARS-CoV-2_31,31,3208,3232,3454,3478,3208,3478,3233,3453
31,SARS-CoV-2_32,32,3318,3342,3556,3580,3318,3580,3343,3555
32,SARS-CoV-2_33,33,3471,3495,3705,3729,3471,3729,3496,3704
33,SARS-CoV-2_34,34,3579,3603,3825,3849,3579,3849,3604,3824
34,SARS-CoV-2_35,35,3726,3750,3973,3997,3726,3997,3751,3972
35,SARS-CoV-2_36,36,3867,3891,4111,4135,3867,4135,3892,4110
36,SARS-CoV-2_37,37,3995,4019,4240,4264,3995,4264,4020,4239
37,SARS-CoV-2_38,38,4138,4162,4391,4415,4138,4415,4163,4390
38,SARS-CoV-2_39,39,4254,4278,4486,4510,4254,4510,4279,4485
39,SARS-CoV-2_40,40,4411,4435,4647,4671,4411,4671,4436,4646
40,SARS-CoV-2_41,41,4504,4528,4750,4774,4504,4774,4529,4749
41,SARS-CoV-2_42,42,4664,4688,4876,4900,4664,4900,4689,4875
42,SARS-CoV-2_43,43,4781,4805,5028,5052,4781,5052,4806,5027
43,SARS-CoV-2_44,44,4896,4920,5130,5154,4896,5154,4921,5129
44,SARS-CoV-2_45,45,5050,5074,5281,5305,5050,5305,5075,5280
45,SARS-CoV-2_46,46,5148,5172,5393,5417,5148,5417,5173,5392
46,SARS-CoV-2_47,47,5301,5325,5545,5569,5301,5569,5326,5544
47,SARS-CoV-2_48,48,5425,5449,5671,5695,5425,5695,5450,5670
48,SARS-CoV-2_49,49,5563,5587,5811,5835,5563,5835,5588,5810
