name,number,start_left,end_left,start_right,end_right,start,end,length,start_amplicon,end_amplicon
SARS-CoV-2_1,1,25,49,408,430,25,430,405,49,323
SARS-CoV-2_2,2,324,343,705,726,324,726,402,430,643
SARS-CoV-2_3,3,644,665,1017,1043,644,1043,399,726,943
SARS-CoV-2_4,4,944,965,1337,1361,944,1361,417,1043,1244
SARS-CoV-2_5,5,1245,1265,1623,1649,1245,1649,404,1361,1539
SARS-CoV-2_6,6,1540,1561,1925,1947,1540,1947,407,1649,1850
SARS-CoV-2_7,7,1851,1874,2228,2249,1851,2249,398,1947,2153
SARS-CoV-2_8,8,2154,2179,2544,2570,2154,2570,416,2249,2482
SARS-CoV-2_9,9,2483,2507,2861,2884,2483,2884,401,2570,2825
SARS-CoV-2_10,10,2826,2849,3183,3209,2826,3209,383,2884,3077
SARS-CoV-2_11,11,3078,3101,3470,3491,3078,3491,413,3209,3389
SARS-CoV-2_12,12,3390,3411,3769,3793,3390,3793,403,3491,3682
SARS-CoV-2_13,13,3683,3704,4067,4092,3683,4092,409,3793,3991
SARS-CoV-2_14,14,3992,4017,4387,4408,3992,4408,416,4092,4311
SARS-CoV-2_15,15,4312,4338,4685,4709,4312,4709,397,4408,4619
SARS-CoV-2_16,16,4620,4647,4995,5016,4620,5016,396,4709,4922
SARS-CoV-2_17,17,4923,4952,5302,5330,4923,5330,407,5016,5229
SARS-CoV-2_18,18,5230,5258,5620,5642,5230,5642,412,5330,5560
SARS-CoV-2_19,19,5561,5583,5932,5956,5561,5956,395,5642,5866
SARS-CoV-2_20,20,5867,5893,6247,6271,5867,6271,404,5956,6183
SARS-CoV-2_21,21,6184,6209,6553,6581,6184,6581,397,6271,6477
SARS-CoV-2_22,22,6478,6506,6859,6884,6478,6884,406,6581,6746
SARS-CoV-2_23,23,6747,6775,7122,7147,6747,7147,400,6884,7056
SARS-CoV-2_24,24,7057,7083,7440,7466,7057,7466,409,7147,7380
SARS-CoV-2_25,25,7381,7402,7747,7769,7381,7769,388,7466,7671
SARS-CoV-2_26,26,7672,7694,8063,8091,7672,8091,419,7769,7996
SARS-CoV-2_27,27,7997,8018,8370,8394,7997,8394,397,8091,8303
SARS-CoV-2_28,28,8304,8325,8691,8713,8304,8713,409,8394,8595
SARS-CoV-2_29,29,8596,8618,8990,9012,8596,9012,416,8713,8918
SARS-CoV-2_30,30,8919,8943,9306,9328,8919,9328,409,9012,9167
SARS-CoV-2_31,31,9168,9191,9535,9563,9168,9563,395,9328,9469
SARS-CoV-2_32,32,9470,9496,9842,9865,9470,9865,395,9563,9781
SARS-CoV-2_33,33,9782,9804,10150,10175,9782,10175,393,9865,10075
SARS-CoV-2_34,34,10076,10098,10465,10490,10076,10490,414,10175,10392
SARS-CoV-2_35,35,10393,10418,10785,10809,10393,10809,416,10490,10712
SARS-CoV-2_36,36,10713,10741,11092,11115,10713,11115,402,10809,10999
SARS-CoV-2_37,37,11000,11022,11388,11413,11000,11413,413,11115,11304
SARS-CoV-2_38,38,11305,11329,11689,11719,11305,11719,414,11413,11623
SARS-CoV-2_39,39,11624,11650,12011,12032,11624,12032,408,11719,11936
SARS-CoV-2_40,40,11937,11962,12317,12338,11937,12338,401,12032,12233
SARS-CoV-2_41,41,12234,12254,12618,12642,12234,12642,408,12338,12518
SARS-CoV-2_42,42,12519,12545,12895,12919,12519,12919,400,12642,12830
SARS-CoV-2_43,43,12831,12855,13218,13239,12831,13239,408,12919,13123
SARS-CoV-2_44,44,13124,13147,13506,13527,13124,13527,403,13239,13462
SARS-CoV-2_45,45,13463,13484,13833,13858,13463,13858,395,13527,13751
SARS-CoV-2_46,46,13752,13774,14120,14143,13752,14143,391,13858,14044
SARS-CoV-2_47,47,14045,14074,14428,14456,14045,14456,411,14143,14337
SARS-CoV-2_48,48,14338,14361,14717,14742,14338,14742,404,14456,14646
SARS-CoV-2_49,49,14647,14673,15023,15049,14647,15049,402,14742,14952
SARS-CoV-2_50,50,14953,14982,15336,15357,14953,15357,404,15049,15213
SARS-CoV-2_51,51,15214,15236,15596,15618,15214,15618,404,15357,15534
SARS-CoV-2_52,52,15535,15556,15917,15940,15535,15940,405,15618,15854
SARS-CoV-2_53,53,15855,15880,16239,16259,15855,16259,404,15940,16111
SARS-CoV-2_54,54,16112,16136,16483,16507,16112,16507,395,16259,16385
SARS-CoV-2_55,55,16386,16407,16767,16795,16386,16795,409,16507,16691
SARS-CoV-2_56,56,16692,16713,17082,17104,16692,17104,412,16795,16985
SARS-CoV-2_57,57,16986,17012,17381,17404,16986,17404,418,17104,17322
SARS-CoV-2_58,58,17323,17344,17688,17710,17323,17710,387,17404,17614
SARS-CoV-2_59,59,17615,17641,17997,18021,17615,18021,406,17710,17910
SARS-CoV-2_60,60,17911,17938,18307,18327,17911,18327,416,18021,18243
SARS-CoV-2_61,61,18244,18266,18624,18651,18244,18651,407,18327,18549
SARS-CoV-2_62,62,18550,18577,18936,18960,18550,18960,410,18651,18868
SARS-CoV-2_63,63,18869,18890,19252,19276,18869,19276,407,18960,19182
SARS-CoV-2_64,64,19183,19207,19558,19585,19183,19585,402,19276,19484
SARS-CoV-2_65,65,19485,19512,19877,19900,19485,19900,415,19585,19809
SARS-CoV-2_66,66,19810,19835,20186,20215,19810,20215,405,19900,20089
SARS-CoV-2_67,67,20090,20116,20472,20496,20090,20496,406,20215,20376
SARS-CoV-2_68,68,20377,20404,20766,20791,20377,20791,414,20496,20676
SARS-CoV-2_69,69,20677,20698,21050,21079,20677,21079,402,20791,20987
SARS-CoV-2_70,70,20988,21012,21358,21386,20988,21386,398,21079,21293
SARS-CoV-2_71,71,21294,21315,21675,21699,21294,21699,405,21386,21531
SARS-CoV-2_72,72,21532,21560,21904,21932,21532,21932,400,21699,21864
SARS-CoV-2_73,73,21865,21888,22247,22273,21865,22273,408,21932,22090
SARS-CoV-2_74,74,22091,22112,22474,22502,22091,22502,411,22273,22401
SARS-CoV-2_75,75,22402,22427,22785,22804,22402,22804,402,22502,22647
SARS-CoV-2_76,76,22648,22676,23028,23056,22648,23056,408,22804,22943
SARS-CoV-2_77,77,22944,22973,23327,23350,22944,23350,406,23056,23218
SARS-CoV-2_78,78,23219,23245,23611,23634,23219,23634,415,23350,23552
SARS-CoV-2_79,79,23553,23574,23927,23954,23553,23954,401,23634,23852
SARS-CoV-2_80,80,23853,23875,24233,24257,23853,24257,404,23954,24170
SARS-CoV-2_81,81,24171,24193,24545,24566,24171,24566,395,24257,24425
SARS-CoV-2_82,82,24426,24447,24814,24835,24426,24835,409,24566,24749
SARS-CoV-2_83,83,24750,24771,25122,25149,24750,25149,399,24835,25050
SARS-CoV-2_84,84,25051,25075,25438,25460,25051,25460,409,25149,25330
SARS-CoV-2_85,85,25331,25352,25711,25739,25331,25739,408,25460,25644
SARS-CoV-2_86,86,25645,25671,26026,26049,25645,26049,404,25739,25950
SARS-CoV-2_87,87,25951,25978,26338,26359,25951,26359,408,26049,26254
SARS-CoV-2_88,88,26255,26276,26635,26660,26255,26660,405,26359,26563
SARS-CoV-2_89,89,26564,26586,26956,26978,26564,26978,414,26660,26872
SARS-CoV-2_90,90,26873,26894,27256,27282,26873,27282,409,26978,27151
SARS-CoV-2_91,91,27152,27176,27534,27559,27152,27559,407,27282,27446
SARS-CoV-2_92,92,27447,27472,27826,27854,27447,27854,407,27559,27699
SARS-CoV-2_93,93,27700,27725,28082,28103,27700,28103,403,27854,27995
SARS-CoV-2_94,94,27996,28020,28394,28415,27996,28415,419,28103,28189
SARS-CoV-2_95,95,28190,28213,28572,28597,28190,28597,407,28415,28511
SARS-CoV-2_96,96,28512,28535,28893,28913,28512,28913,401,28597,28826
SARS-CoV-2_97,97,28827,28848,29206,29226,28827,29226,399,28913,29135
SARS-CoV-2_98,98,29136,29160,29512,29533,29136,29533,397,29226,29451
SARS-CoV-2_99,99,29452,29474,29827,29853,29452,29853,401,29533,29826
