name,number,start_left,end_left,start_right,end_right,start,end,length,start_amplicon,end_amplicon
SARSCoV_1200_1,1,30,53,1183,1204,30,1204,1174,53,1099
SARSCoV_1200_3,3,2153,2178,3235,3256,2153,3256,1103,2265,3143
SARSCoV_1200_5,5,4167,4188,5337,5358,4167,5358,1191,4261,5256
SARSCoV_1200_7,7,6283,6306,7379,7400,6283,7400,1117,6379,7297
SARSCoV_1200_9,9,8253,8281,9378,9399,8253,9399,1146,8384,9302
SARSCoV_1200_11,11,10343,10369,11447,11468,10343,11468,1125,10450,11371
SARSCoV_1200_13,13,12450,12472,13599,13620,12450,13620,1170,12559,13508
SARSCoV_1200_15,15,14540,14567,15713,15734,14540,15734,1194,14640,15607
SARSCoV_1200_17,17,16624,16646,17732,17753,16624,17753,1129,16719,17621
SARSCoV_1200_19,19,18596,18617,19655,19677,18596,19677,1081,18705,19573
SARSCoV_1200_21,21,20553,20580,21620,21641,20553,21641,1088,20697,21531
SARSCoV_1200_23,23,22511,22536,23609,23630,22511,23630,1119,22611,23517
SARSCoV_1200_25,25,24633,24657,25768,25789,24633,25789,1156,24735,25689
SARSCoV_1200_27,27,26744,26765,27872,27893,26744,27893,1149,26856,27783
SARSCoV_1200_29,29,28677,28698,29768,29789,28677,29789,1112,29006,29767
SARSCoV_1200_2,2,1100,1127,2244,2265,1100,2265,1165,1204,2152
SARSCoV_1200_4,4,3144,3165,4240,4261,3144,4261,1117,3256,4166
SARSCoV_1200_6,6,5257,5285,6358,6379,5257,6379,1122,5358,6282
SARSCoV_1200_8,8,7298,7327,8363,8384,7298,8384,1086,7400,8252
SARSCoV_1200_10,10,9303,9326,10429,10450,9303,10450,1147,9399,10342
SARSCoV_1200_12,12,11372,11393,12538,12559,11372,12559,1187,11468,12449
SARSCoV_1200_14,14,13509,13531,14619,14640,13509,14640,1131,13620,14539
SARSCoV_1200_16,16,15608,15633,16698,16719,15608,16719,1111,15734,16623
SARSCoV_1200_18,18,17622,17648,18684,18705,17622,18705,1083,17753,18595
SARSCoV_1200_20,20,19574,19603,20676,20697,19574,20697,1123,19677,20552
SARSCoV_1200_22,22,21532,21561,22590,22611,21532,22611,1079,21641,22510
SARSCoV_1200_24,24,23518,23543,24714,24735,23518,24735,1217,23630,24632
SARSCoV_1200_26,26,25690,25711,26835,26856,25690,26856,1166,25789,26743
SARSCoV_1200_28,28,27784,27807,28985,29006,27784,29006,1222,27893,28676
