name,number,start_left,end_left,start_right,end_right,start,end,length,start_amplicon,end_amplicon
nCoV-2019_1_pool1,1,30,53,385,409,30,409,379,54,341
nCoV-2019_2_pool2,2,320,341,704,725,320,725,405,385,663
nCoV-2019_3_pool1,3,642,663,1004,1027,642,1027,385,704,964
nCoV-2019_4_pool2,4,943,964,1312,1336,943,1336,393,1004,1263
nCoV-2019_5_pool1,5,1242,1263,1623,1650,1242,1650,408,1312,1594
nCoV-2019_6_pool2,6,1573,1594,1942,1963,1573,1963,390,1623,1896
nCoV-2019_7_pool1,7,1875,1896,2247,2268,1875,2268,393,1942,2204
nCoV-2019_8_pool2,8,2181,2204,2568,2591,2181,2591,410,2247,2528
nCoV-2019_9_pool1,9,2505,2528,2882,2903,2505,2903,398,2568,2849
nCoV-2019_10_pool2,10,2826,2849,3183,3209,2826,3209,383,2882,3165
nCoV-2019_11_pool1,11,3144,3165,3507,3530,3144,3530,386,3183,3481
nCoV-2019_12_pool2,12,3460,3481,3826,3852,3460,3852,392,3507,3794
nCoV-2019_13_pool1,13,3771,3794,4142,4163,3771,4163,392,3826,4076
nCoV-2019_14_pool2,14,4054,4076,4428,4449,4054,4449,395,4142,4320
nCoV-2019_15_pool1,15,4294,4320,4674,4695,4294,4695,401,4428,4657
nCoV-2019_16_pool2,16,4636,4657,4995,5016,4636,5016,380,4674,4965
nCoV-2019_17_pool1,17,4939,4965,5296,5320,4939,5320,381,4995,5258
nCoV-2019_18_pool2,18,5230,5258,5620,5643,5230,5643,413,5296,5585
nCoV-2019_19_pool1,19,5563,5585,5932,5956,5563,5956,393,5620,5893
nCoV-2019_20_pool2,20,5867,5893,6247,6271,5867,6271,404,5932,6195
nCoV-2019_21_pool1,21,6167,6195,6528,6549,6167,6549,382,6247,6494
nCoV-2019_22_pool2,22,6466,6494,6846,6872,6466,6872,406,6528,6744
nCoV-2019_23_pool1,23,6718,6744,7092,7116,6718,7116,398,6846,7057
nCoV-2019_24_pool2,24,7035,7057,7389,7414,7035,7414,379,7092,7331
nCoV-2019_25_pool1,25,7305,7331,7671,7693,7305,7693,388,7389,7650
nCoV-2019_26_pool2,26,7626,7650,7997,8018,7626,8018,392,7671,7967
nCoV-2019_27_pool1,27,7943,7967,8319,8340,7943,8340,397,7997,8274
nCoV-2019_28_pool2,28,8249,8274,8635,8660,8249,8660,411,8319,8618
nCoV-2019_29_pool1,29,8595,8618,8954,8982,8595,8982,387,8635,8912
nCoV-2019_30_pool2,30,8888,8912,9245,9270,8888,9270,382,8954,9225
nCoV-2019_31_pool1,31,9204,9225,9557,9584,9204,9584,380,9245,9501
nCoV-2019_32_pool2,32,9477,9501,9834,9857,9477,9857,380,9557,9805
nCoV-2019_33_pool1,33,9784,9805,10146,10170,9784,10170,386,9834,10098
nCoV-2019_34_pool2,34,10076,10098,10437,10458,10076,10458,382,10146,10383
nCoV-2019_35_pool1,35,10362,10383,10737,10762,10362,10762,400,10437,10687
nCoV-2019_36_pool2,36,10666,10687,11048,11073,10666,11073,407,10737,11021
nCoV-2019_37_pool1,37,10999,11021,11372,11393,10999,11393,394,11048,11330
nCoV-2019_38_pool2,38,11306,11330,11668,11692,11306,11692,386,11372,11583
nCoV-2019_39_pool1,39,11555,11583,11927,11948,11555,11948,393,11668,11888
nCoV-2019_40_pool2,40,11863,11888,12234,12255,11863,12255,392,11927,12132
nCoV-2019_41_pool1,41,12110,12132,12465,12489,12110,12489,379,12234,12438
nCoV-2019_42_pool2,42,12417,12438,12779,12801,12417,12801,384,12465,12731
nCoV-2019_43_pool1,43,12710,12731,13074,13095,12710,13095,385,12779,13026
nCoV-2019_44_pool2,44,13005,13026,13378,13399,13005,13399,394,13074,13343
nCoV-2019_45_pool1,45,13319,13343,13669,13698,13319,13698,379,13378,13620
nCoV-2019_46_pool2,46,13599,13620,13962,13983,13599,13983,384,13669,13945
nCoV-2019_47_pool1,47,13918,13945,14271,14298,13918,14298,380,13962,14231
nCoV-2019_48_pool2,48,14207,14231,14579,14600,14207,14600,393,14271,14569
nCoV-2019_49_pool1,49,14545,14569,14898,14925,14545,14925,380,14579,14894
nCoV-2019_50_pool2,50,14865,14894,15224,15245,14865,15245,380,14898,15192
nCoV-2019_51_pool1,51,15171,15192,15538,15559,15171,15559,388,15224,15502
nCoV-2019_52_pool2,52,15481,15502,15861,15885,15481,15885,404,15538,15850
nCoV-2019_53_pool1,53,15827,15850,16186,16208,15827,16208,381,15861,16143
nCoV-2019_54_pool2,54,16118,16143,16485,16509,16118,16509,391,16186,16443
nCoV-2019_55_pool1,55,16416,16443,16804,16832,16416,16832,416,16485,16769
nCoV-2019_56_pool2,56,16748,16769,17130,17151,16748,17151,403,16804,17086
nCoV-2019_57_pool1,57,17065,17086,17430,17451,17065,17451,386,17130,17405
nCoV-2019_58_pool2,58,17381,17405,17738,17760,17381,17760,379,17430,17696
